Car Name,Condition,Mileage,Engine Type,Rating,Price,Location,Year
2016 Hyundai i10,foreign,37282.0,4-cylinder,3.0,"GH¢ 147,589","Greater Accra, Accra Newtown",2016
2019 Toyota Highlander,foreign,69000.0,4-cylinder,3.0,"GH¢ 494,950","Greater Accra, Abelemkpe",2019
2018 KIA Picanto,foreign,37282.0,4-cylinder,3.0,"GH¢ 156,565","Greater Accra, Accra Newtown",2018
2019 Toyota Highlander,foreign,69000.0,4-cylinder,3.0,"GH¢ 494,950","Greater Accra, Accra Newtown",2019
2014 Hyundai i10,foreign,34796.0,4-cylinder,3.0,"GH¢ 147,589","Greater Accra, Accra Newtown",2014
2014 KIA Picanto,foreign,37282.0,4-cylinder,3.0,"GH¢ 138,425","Greater Accra, Accra Newtown",2014
2017 Toyota RAV 4,foreign,4349.0,4-cylinder,3.0,"GH¢ 384,790","Accra, Tema",2017
2015 Toyota Corolla,foreign,100662.0,4-cylinder,4.2,"GH¢ 170,000","Greater Accra, Airport",2015
2022 KIA Sportage,foreign,28000.0,4-cylinder,3.0,"GH¢ 443,950","Accra, Dansoman",2022
2025 SUZUKI S-presso GL,new,0.0,4-cylinder,4.8,"GH¢ 146,539","Accra, Accra North",2025
2025 SUZUKI S-presso GL,new,0.0,4-cylinder,4.8,"GH¢ 146,539","Accra, Accra North",2025
2025 SUZUKI S-presso GL,new,0.0,3-cylinder,4.8,"GH¢ 139,000","Greater Accra, Airport",2025
2018 Honda Civic,foreign,39767.0,4-cylinder,3.0,"GH¢ 255,250","Accra, Bawalishi",2018
2022 Acura RDX,local,150000.0,4-cylinder,3.0,"GH¢ 683,650","Greater Accra,",2022
2012 Toyota Sienta,foreign,9320.0,4-cylinder,3.0,"GH¢ 127,816","Greater Accra Region, Hong Kong",2012
2017 Honda CR-V,foreign,48466.0,4-cylinder,3.0,"GH¢ 306,250","Accra, Bawalishi",2017
2014 Toyota Corolla,foreign,40389.0,4-cylinder,3.0,"GH¢ 171,610","Accra, Bawalishi",2014
2015 Nissan Qashqai,foreign,9320.0,4-cylinder,3.0,"GH¢ 281,413","Greater Accra Region, Hong Kong",2015
2010 Toyota Yaris,foreign,9320.0,4-cylinder,3.0,"GH¢ 124,633","Greater Accra Region, Hong Kong",2010
2017 Mitsubishi Outlander hybrid,local,140000.0,4-cylinder,3.0,"GH¢ 306,250","Greater Accra,",2017
2020 RANGE ROVER Vogue,foreign,47224.0,6-cylinder,3.0,"GH¢ 714,250","Accra, Bawalishi",2020
2010 Toyota Yaris,foreign,9320.0,4-cylinder,3.0,"GH¢ 124,633","Greater Accra Region, Hong Kong",2010
2010 Toyota Yaris,foreign,9320.0,4-cylinder,3.0,"GH¢ 124,633","Greater Accra Region, Hong Kong",2010
2010 Toyota Yaris,foreign,9320.0,4-cylinder,3.0,"GH¢ 124,633","Greater Accra Region, Hong Kong",2010
2010 Toyota Yaris,foreign,9320.0,4-cylinder,3.0,"GH¢ 124,633","Greater Accra Region, Hong Kong",2010
2020 Mercedes-Benz C 300,foreign,12427.0,4-cylinder,4.4,"GH¢ 500,000","Greater Accra, Airport",2020
2012 Toyota Sienta,foreign,9320.0,4-cylinder,3.0,"GH¢ 127,816","Greater Accra Region, Hong Kong",2012
2024 Nissan Patrol,local,182683.0,6-cylinder,4.5,"GH¢ 1,305,791","Ashanti, Adum",2024
2010 Toyota Yaris,foreign,9320.0,4-cylinder,3.0,"GH¢ 124,633","Greater Accra Region, Hong Kong",2010
2024 Nissan Xterra,new,124274.0,4-cylinder,4.5,"GH¢ 831,785","Ashanti, Adum",2024
2010 Toyota Yaris,foreign,9320.0,4-cylinder,3.0,"GH¢ 124,633","Greater Accra Region, Hong Kong",2010
2024 Nissan Navara,new,126138.0,4-cylinder,4.5,"GH¢ 403,140","Ashanti, Adum",2024
2025 Nissan New Kicks,new,0.0,4-cylinder,4.5,"GH¢ 323,029","Ashanti, Adum",2025
2012 Toyota Yaris,foreign,57166.0,4-cylinder,3.0,"GH¢ 130,000","Accra, Dome",2012
