Car Name,Condition,Mileage,Engine Type,Rating,Price,Location,Year
2006 Lexus GS 300,local,87000.0,4-cylinder,3.0,"₦ 6,815,000","Lagos, Agege",2006
2018 Mercedes-Benz GLC 43 AMG,foreign,1864.0,6-cylinder,3.0,"₦ 76,515,000","Lagos, Ikate, Lekki",2018
2007 Toyota Camry,local,99419.0,4-cylinder,3.0,"₦ 7,000,000","Lagos, Ibeju-Lekki",2007
2013 Toyota Venza,foreign,99419.0,4-cylinder,3.0,"₦ 24,000,000","Lagos, Ibeju-Lekki",2013
2015 Mercedes-Benz GLA 250,foreign,65000.0,4-cylinder,3.0,"₦ 25,515,000","Lagos, Ikeja",2015
2016 Mercedes-Benz GLE 450,foreign,78914.0,6-cylinder,3.0,"₦ 69,000,000","Lagos, Ikate, Lekki",2016
2006 Toyota Highlander,foreign,1242.0,6-cylinder,3.0,"₦ 12,515,000","Lagos, Gbagada",2006
2018 Mercedes-Benz GLC 300,foreign,76000.0,6-cylinder,3.0,"₦ 35,515,000","Lagos, Sangotedo, Lekki",2018
2015 Honda CR-V,foreign,74000.0,6-cylinder,3.0,"₦ 24,015,000","Abuja, Gwarinpa",2015
2016 Toyota Highlander,foreign,103000.0,6-cylinder,3.0,"₦ 35,015,000","Plot 244, Road 22, 2nd Avenue, Gowon Estate,, Egbeda",2016
2009 Toyota Highlander,foreign,132000.0,6-cylinder,3.0,"₦ 17,015,000","Lagos, Ikorodu",2009
2010 Hyundai Elantra,foreign,198000.0,4-cylinder,4.3,"₦ 7,015,000","Lagos, Mile 2",2010
2010 Toyota camry,local,193000.0,4-cylinder,3.0,"₦ 8,515,000","Abuja, Kubuwa Expressway",2010
2010 Hyundai Grandeur,foreign,52000.0,6-cylinder,3.0,"₦ 13,515,000","Abuja, Kubuwa Expressway",2010
2010 Mercedes-Benz E 350,foreign,116000.0,6-cylinder,4.7,"₦ 14,515,000","Lagos, Lekki",2010
2018 Mercedes-Benz GLE 43 AMG,local,98176.0,6-cylinder,4.8,"₦ 79,000,000","Lagos, Lekki",2018
2012 Toyota Corolla,local,85000.0,4-cylinder,3.0,"₦ 9,000,000","Abuja, Gwarinpa",2012
2009 Toyota corolla,local,121000.0,4-cylinder,3.0,"₦ 8,515,000","Abuja, Gudu District",2009
2022 Toyota Highlander,foreign,51573.0,6-cylinder,3.0,"₦ 60,015,000","Lagos, Ipaja",2022
2022 Mercedes-Benz C 300,foreign,4000.0,6-cylinder,3.0,"₦ 89,515,000","Lagos, Lekki Phase 1",2022
2009 KIA Soul,local,155000.0,4-cylinder,3.0,"₦ 5,015,000","Abuja, Gudu District",2009
2013 Mercedes-Benz C 300,foreign,122000.0,4-cylinder,4.6,"₦ 17,500,000","Abuja, CBD",2013
2015 Toyota Rav4,foreign,48466.0,4-cylinder,3.0,"₦ 23,715,000","Lagos, Abule Egba",2015
2014 Honda Accord,local,141000.0,4-cylinder,3.0,"₦ 12,015,000","Abuja, Gwarinpa",2014
2013 Toyota Corolla,foreign,46602.0,4-cylinder,4.3,"₦ 12,515,000","Lagos, Ketu",2013
2015 Toyota Camry,foreign,2000.0,4-cylinder,3.0,"₦ 22,515,000","Abuja, Gwarinpa",2015
2014 Lexus GX 460,foreign,77050.0,8-cylinder,3.0,"₦ 47,515,088","Lagos, Lekki",2014
2011 Hyundai Sonata,foreign,1036446.0,4-cylinder,3.4,"₦ 9,850,000","Lagos, Ogudu",2011
